Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41
com.samsung.shealth.sleep;6261011;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
original_efficiency;mental_recovery;factor_01;factor_02;factor_03;factor_04;factor_05;factor_06;factor_07;factor_08;factor_09;factor_10;has_sleep_data;combined_id;sleep_type;data_version;physical_recovery;original_wake_up_time;movement_awakening;original_bed_time;goal_bed_time;quality;extra_data;goal_wake_up_time;sleep_cycle;efficiency;sleep_score;sleep_duration;com.samsung.health.sleep.create_sh_ver;com.samsung.health.sleep.start_time;com.samsung.health.sleep.custom;com.samsung.health.sleep.modify_sh_ver;com.samsung.health.sleep.update_time;com.samsung.health.sleep.create_time;com.samsung.health.sleep.time_offset;com.samsung.health.sleep.deviceuuid;com.samsung.health.sleep.comment;com.samsung.health.sleep.pkg_name;com.samsung.health.sleep.end_time;com.samsung.health.sleep.datauuid;
;48.0;18;85;22;22;73;636;101;3;48;0;0;;;3;84.0;;41.0;;;;ce44964b-f089-4131-8bcc-b399e2da2849.extra_data.json;;6;88.0;55;636;;2023-02-28 00:44:00.000;;;2023-02-28 11:21:54.553;2023-02-28 11:21:38.175;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-02-28 11:20:00.000;ce44964b-f089-4131-8bcc-b399e2da2849;
;79.0;12;18;16;6;42;348;136;0;23;0;0;;;3;44.0;;30.0;;;;ac841852-9ca3-4624-ac41-7724119b096b.extra_data.json;;3;87.0;59;348;;2023-03-01 05:01:00.000;;;2023-03-01 10:50:13.538;2023-03-01 10:49:59.386;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-01 10:49:00.000;ac841852-9ca3-4624-ac41-7724119b096b;
;65.0;34;48;8;15;56;472;189;1;31;0;0;;;3;65.0;;23.0;;;;0d60472f-c473-4b62-8760-cdf7c7a84d67.extra_data.json;;4;88.0;70;472;;2023-03-02 02:53:00.000;;;2023-03-02 13:46:48.395;2023-03-02 10:45:15.605;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-02 10:45:00.000;0d60472f-c473-4b62-8760-cdf7c7a84d67;
;67.0;42;66;21;13;53;406;130;1;41;0;0;;;3;70.0;;39.0;;;;602a9a2a-0a61-4735-98f0-05a41dc53523.extra_data.json;;4;86.0;72;406;;2023-03-03 04:04:00.000;;;2023-03-03 10:56:03.130;2023-03-03 10:55:15.814;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-03 10:50:00.000;602a9a2a-0a61-4735-98f0-05a41dc53523;
;87.0;13;17;12;3;72;554;156;0;47;0;0;;;3;62.0;;29.0;;;;3d484da3-dd0c-41ab-8f7f-974dbfd0b078.extra_data.json;;4;87.0;72;554;;2023-03-04 04:58:00.000;;;2023-03-04 14:12:54.759;2023-03-04 14:12:33.206;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-04 14:12:00.000;3d484da3-dd0c-41ab-8f7f-974dbfd0b078;
;85.0;25;38;21;5;45;358;103;0;23;0;0;;;3;56.0;;39.0;;;;b0877946-e4d6-4890-b3dc-6d67a5360814.extra_data.json;;4;87.0;71;358;;2023-03-05 09:42:00.000;;;2023-03-05 15:42:49.682;2023-03-05 15:42:36.366;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-05 15:40:00.000;b0877946-e4d6-4890-b3dc-6d67a5360814;
;75.0;21;58;3;5;30;431;83;1;11;0;0;;;3;67.0;;13.0;;;;3a3ecba5-682d-471e-ba36-c4bc9c3170a3.extra_data.json;;4;93.0;84;431;;2023-03-06 03:21:00.000;;;2023-03-06 10:32:18.210;2023-03-06 10:32:03.191;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-06 10:32:00.000;3a3ecba5-682d-471e-ba36-c4bc9c3170a3;
;58.0;26;26;17;7;31;430;269;2;18;0;0;;;3;53.0;;18.0;;;;cc7ccb20-f749-4e8d-98e6-58b8f06fac4a.extra_data.json;;3;92.0;67;430;;2023-03-07 03:18:00.000;;;2023-03-07 10:30:43.964;2023-03-07 10:30:26.631;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-07 10:28:00.000;cc7ccb20-f749-4e8d-98e6-58b8f06fac4a;
;39.0;42;42;4;26;48;512;146;3;22;0;0;;;3;71.0;;16.0;;;;1835a72a-9173-4c3e-a3f8-d83f6a359638.extra_data.json;;5;90.0;66;512;;2023-03-08 02:01:00.000;;;2023-03-08 10:33:42.794;2023-03-08 10:33:25.858;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-08 10:33:00.000;1835a72a-9173-4c3e-a3f8-d83f6a359638;
;84.0;32;54;4;11;39;502;118;0;13;0;0;;;3;72.0;;14.0;;;;1c4b0314-8c9a-453a-b91e-fa2a53954a40.extra_data.json;;5;92.0;84;502;;2023-03-09 02:08:00.000;;;2023-03-09 10:30:44.752;2023-03-09 10:30:22.650;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-09 10:30:00.000;1c4b0314-8c9a-453a-b91e-fa2a53954a40;
