total_calorie,heart_rate_sample_count,location_data_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.start_time,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.distance,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.end_time,com.samsung.health.exercise.sweat_loss,temperature_2m,relative_humidity_2m,wind_speed_10m,data,hora,dataToJoin,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,physical_recovery,movement_awakening,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.end_time
31.716.326,147.0,,166456,2023-03-21 09:41:54.775,138.0,173.0,2.997,13.769.406,,351.375,31.587.997,177.0,,21.109.183,2023-03-21 09:44:47,,"7    18.678499
Name: temperature_2m, dtype: float32","7    97.0
Name: relative_humidity_2m, dtype: float32","7    3.096837
Name: wind_speed_10m, dtype: float32",2023-03-21,09:41:54,2023-03-21,70.0,23.0,33.0,2.0,5.0,47.0,391.0,119.0,1.0,30.0,0.0,55.0,21.0,3.0,87.0,78.0,0 days 00:00:00.000000391,2023-03-21 04:09:00.000,2023-03-21 10:40:00.000
16.002.953,716.0,,745304,2023-03-25 10:13:23.241,171.0,183.0,2.98,16.680.441,145.0,1.928.781,159.952,176.0,,25.879.118,2023-03-25 10:25:52,353.0,"7    19.478498
Name: temperature_2m, dtype: float32","7    93.0
Name: relative_humidity_2m, dtype: float32","7    3.096837
Name: wind_speed_10m, dtype: float32",2023-03-25,10:13:23,2023-03-25,64.0,50.0,57.0,15.0,11.0,81.0,498.0,195.0,1.0,58.0,0.0,72.0,36.0,3.0,83.0,72.0,0 days 00:00:00.000000498,2023-03-25 02:46:00.000,2023-03-25 11:04:00.000
31.391.205,129.0,,150544,2023-03-25 10:37:05.811,139.0,164.0,3.037,15.543.628,,363.812,31.383,180.0,,24.166.489,2023-03-25 10:39:36,,"8    23.3785
Name: temperature_2m, dtype: float32","8    80.0
Name: relative_humidity_2m, dtype: float32","8    1.44
Name: wind_speed_10m, dtype: float32",2023-03-25,10:37:05,2023-03-25,64.0,50.0,57.0,15.0,11.0,81.0,498.0,195.0,1.0,58.0,0.0,72.0,36.0,3.0,83.0,72.0,0 days 00:00:00.000000498,2023-03-25 02:46:00.000,2023-03-25 11:04:00.000
15.784.369,698.0,,725316,2023-04-01 09:40:26.153,170.0,185.0,3.019,16.999.489,,1.909.375,157.772,180.0,,26.324.735,2023-04-01 09:52:35,338.0,"7    19.678499
Name: temperature_2m, dtype: float32","7    99.0
Name: relative_humidity_2m, dtype: float32","7    2.545584
Name: wind_speed_10m, dtype: float32",2023-04-01,09:40:26,2023-04-01,60.0,21.0,57.0,2.0,25.0,65.0,438.0,56.0,2.0,47.0,0.0,72.0,29.0,7.0,85.0,57.0,0 days 00:00:00.000000438,2023-04-01 03:42:00.000,2023-04-01 11:00:00.000
20.151.937,67.0,,93519,2023-04-01 10:10:03.123,141.0,157.0,2.92,16.552.788,127.0,237.156,20.099,177.0,,25.359.125,2023-04-01 10:11:39,,"7    19.678499
Name: temperature_2m, dtype: float32","7    99.0
Name: relative_humidity_2m, dtype: float32","7    2.545584
Name: wind_speed_10m, dtype: float32",2023-04-01,10:10:03,2023-04-01,60.0,21.0,57.0,2.0,25.0,65.0,438.0,56.0,2.0,47.0,0.0,72.0,29.0,7.0,85.0,57.0,0 days 00:00:00.000000438,2023-04-01 03:42:00.000,2023-04-01 11:00:00.000
0.7557627,7.0,,17202,2023-04-03 22:29:06.330,63.0,72.0,,,,0.0,0.706,,,0.0,2023-04-03 22:29:25,,"19    20.428499
Name: temperature_2m, dtype: float32","19    78.0
Name: relative_humidity_2m, dtype: float32","19    1.484318
Name: wind_speed_10m, dtype: float32",2023-04-03,22:29:06,2023-04-03,58.0,32.0,54.0,6.0,17.0,46.0,485.0,98.0,2.0,25.0,0.0,73.0,21.0,5.0,90.0,70.0,0 days 00:00:00.000000485,2023-04-03 02:27:00.000,2023-04-03 10:32:00.000
10.217.182,63.0,,75648,2023-04-07 10:21:12.746,112.0,122.0,2.89,8.803.934,,92.125,10.118,175.0,,12.178.113,2023-04-07 10:22:33,,"7    19.078499
Name: temperature_2m, dtype: float32","7    95.0
Name: relative_humidity_2m, dtype: float32","7    1.835647
Name: wind_speed_10m, dtype: float32",2023-04-07,10:21:12,2023-04-07,59.0,14.0,18.0,2.0,16.0,35.0,445.0,89.0,2.0,14.0,0.0,55.0,13.0,5.0,92.0,67.0,0 days 00:00:00.000000445,2023-04-07 03:30:00.000,2023-04-07 10:55:00.000
8.915.588,394.0,,413240,2023-05-05 08:42:12.494,160.0,171.0,2.932,16.479.527,,1.062.316,89.151,173.0,,25.707,2023-05-05 08:49:05,,"6    16.2785
Name: temperature_2m, dtype: float32","6    100.0
Name: relative_humidity_2m, dtype: float32","6    3.706427
Name: wind_speed_10m, dtype: float32",2023-05-05,08:42:12,2023-05-05,83.0,35.0,35.0,4.0,2.0,67.0,380.0,142.0,0.0,49.0,0.0,57.0,33.0,3.0,82.0,78.0,0 days 00:00:00.000000380,2023-05-05 03:25:00.000,2023-05-05 09:45:00.000
28.551.413,1249.0,,1283457,2023-05-06 10:21:33.607,169.0,184.0,3.015,16.577.103,132.0,3.308.531,284.529,178.0,,25.778.277,2023-05-06 10:43:45,576.0,"7    17.428499
Name: temperature_2m, dtype: float32","7    99.0
Name: relative_humidity_2m, dtype: float32","7    2.414953
Name: wind_speed_10m, dtype: float32",2023-05-06,10:21:33,2023-05-06,31.0,45.0,98.0,7.0,44.0,71.0,534.0,120.0,2.0,47.0,0.0,87.0,28.0,5.0,86.0,71.0,0 days 00:00:00.000000534,2023-05-06 02:29:00.000,2023-05-06 11:23:00.000
30.052.826,1337.0,,1345893,2023-05-20 09:53:56.383,169.0,182.0,3.001,1.668.632,118.0,3.508.234,299.625,177.0,,26.066.217,2023-05-20 10:17:06,536.0,"7    9.8285
Name: temperature_2m, dtype: float32","7    99.0
Name: relative_humidity_2m, dtype: float32","7    3.893995
Name: wind_speed_10m, dtype: float32",2023-05-20,09:53:56,2023-05-20,63.0,34.0,91.0,0.0,27.0,79.0,499.0,78.0,1.0,48.0,0.0,86.0,25.0,6.0,84.0,76.0,0 days 00:00:00.000000499,2023-05-20 03:23:00.000,2023-05-20 11:42:00.000
