total_calorie,heart_rate_sample_count,location_data_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.start_time,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.distance,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.end_time,com.samsung.health.exercise.sweat_loss,temperature_2m,relative_humidity_2m,wind_speed_10m,data,hora,dataToJoin,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,physical_recovery,movement_awakening,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.end_time
140.084.305,42.0,,62133,2023-10-21 09:47:11.949,112.0,132.0,3.522,14.098.788,,153.976,13.99,173.0,,24.781.678,2023-10-21 09:48:14,,"7    18.178499
Name: temperature_2m, dtype: float32","7    88.0
Name: relative_humidity_2m, dtype: float32","7    3.706427
Name: wind_speed_10m, dtype: float32",2023-10-21,09:47:11,2023-10-21,48.0,52.0,68.0,7.0,22.0,65.0,501.0,182.0,2.0,35.0,0.0,75.0,24.0,4.0,87.0,66.0,0 days 00:00:00.000000501,2023-10-21 03:03:00.000,2023-10-21 11:24:00.000
15.708.278,589.0,,605705,2023-11-10 08:06:31.780,169.0,184.0,3.567,16.730.917,,1.889.968,157.074,172.0,,3.120.278,2023-11-10 08:16:37,303.0,"5    18.678499
Name: temperature_2m, dtype: float32","5    90.0
Name: relative_humidity_2m, dtype: float32","5    3.319036
Name: wind_speed_10m, dtype: float32",2023-11-10,08:06:31,2023-11-10,64.0,61.0,61.0,12.0,11.0,27.0,411.0,184.0,1.0,8.0,0.0,69.0,15.0,3.0,93.0,59.0,0 days 00:00:00.000000411,2023-11-10 02:08:00.000,2023-11-10 08:59:00.000
1.970.629,708.0,,725673,2023-11-11 09:23:56.140,171.0,186.0,3.649,1.674.308,,2.300.996,197.016,174.0,,31.708.443,2023-11-11 09:36:04,357.0,"6    19.1285
Name: temperature_2m, dtype: float32","6    98.0
Name: relative_humidity_2m, dtype: float32","6    2.305125
Name: wind_speed_10m, dtype: float32",2023-11-11,09:23:56,2023-11-11,78.0,30.0,49.0,21.0,7.0,51.0,427.0,245.0,0.0,32.0,0.0,59.0,28.0,3.0,88.0,83.0,0 days 00:00:00.000000427,2023-11-11 02:20:00.000,2023-11-11 09:27:00.000
1.824.985,882.0,,914822,2023-11-14 08:29:46.398,159.0,175.0,3.689,14.645.471,135.0,2.317.127,182.491,179.0,,2.532.872,2023-11-14 08:45:01,369.0,"5    21.2785
Name: temperature_2m, dtype: float32","5    97.0
Name: relative_humidity_2m, dtype: float32","5    3.396233
Name: wind_speed_10m, dtype: float32",2023-11-14,08:29:46,2023-11-14,86.0,30.0,57.0,3.0,4.0,43.0,472.0,95.0,1.0,17.0,0.0,72.0,16.0,6.0,90.0,89.0,0 days 00:00:00.000000472,2023-11-14 01:21:00.000,2023-11-14 09:13:00.000
15.210.352,587.0,,611118,2023-11-16 08:20:23.855,164.0,179.0,3.593,15.905.275,129.0,1787.73,152.08,173.0,,29.253.435,2023-11-16 08:30:36,308.0,"5    19.578499
Name: temperature_2m, dtype: float32","5    94.0
Name: relative_humidity_2m, dtype: float32","5    4.349896
Name: wind_speed_10m, dtype: float32",2023-11-16,08:20:23,2023-11-16,58.0,58.0,80.0,10.0,12.0,47.0,495.0,151.0,2.0,20.0,0.0,81.0,20.0,4.0,90.0,88.0,0 days 00:00:00.000000495,2023-11-16 00:52:00.000,2023-11-16 09:07:00.000
19.520.744,695.0,,725947,2023-11-18 09:29:27.225,180.0,189.0,3.492,16.439.215,132.0,2.281.308,195.159,170.0,,3.142.527,2023-11-18 09:41:35,392.0,"6    23.228498
Name: temperature_2m, dtype: float32","6    90.0
Name: relative_humidity_2m, dtype: float32","6    5.483356
Name: wind_speed_10m, dtype: float32",2023-11-18,09:29:27,2023-11-18,69.0,4.0,20.0,13.0,16.0,48.0,402.0,100.0,1.0,12.0,0.0,47.0,28.0,5.0,88.0,46.0,0 days 00:00:00.000000402,2023-11-18 04:04:00.000,2023-11-18 10:46:00.000
19.380.495,728.0,,745705,2023-11-21 08:18:09.764,174.0,186.0,3.645,16.333.536,89.0,2.311.168,193.721,172.0,,30.993.059,2023-11-21 08:30:39,371.0,"5    20.828499
Name: temperature_2m, dtype: float32","5    90.0
Name: relative_humidity_2m, dtype: float32","5    3.219938
Name: wind_speed_10m, dtype: float32",2023-11-21,08:18:09,2023-11-21,61.0,15.0,25.0,30.0,14.0,49.0,457.0,227.0,1.0,20.0,0.0,54.0,28.0,3.0,89.0,80.0,0 days 00:00:00.000000457,2023-11-21 01:28:00.000,2023-11-21 09:05:00.000
22.671.074,873.0,,904814,2023-11-25 10:26:58.974,170.0,180.0,3.523,15.941.397,131.0,2.694.523,226.654,166.0,,29.779.854,2023-11-25 10:42:06,371.0,"7    17.428499
Name: temperature_2m, dtype: float32","7    79.0
Name: relative_humidity_2m, dtype: float32","7    4.452954
Name: wind_speed_10m, dtype: float32",2023-11-25,10:26:58,2023-11-25,57.0,66.0,66.0,8.0,13.0,42.0,469.0,201.0,3.0,22.0,0.0,74.0,18.0,6.0,91.0,86.0,0 days 00:00:00.000000469,2023-11-25 03:21:00.000,2023-11-25 11:10:00.000
103.161.285,374.0,,406712,2023-11-28 08:04:32.840,161.0,178.0,3.351,1.599.166,126.0,1.226.994,103.156,165.0,,30.168.622,2023-11-28 08:11:19,,"5    19.728498
Name: temperature_2m, dtype: float32","5    91.0
Name: relative_humidity_2m, dtype: float32","5    2.620839
Name: wind_speed_10m, dtype: float32",2023-11-28,08:04:32,2023-11-28,69.0,18.0,37.0,2.0,6.0,15.0,239.0,62.0,1.0,8.0,0.0,51.0,13.0,3.0,93.0,58.0,0 days 00:00:00.000000239,2023-11-28 00:32:00.000,2023-11-28 04:31:00.000
103.161.285,374.0,,406712,2023-11-28 08:04:32.840,161.0,178.0,3.351,1.599.166,126.0,1.226.994,103.156,165.0,,30.168.622,2023-11-28 08:11:19,,"5    19.728498
Name: temperature_2m, dtype: float32","5    91.0
Name: relative_humidity_2m, dtype: float32","5    2.620839
Name: wind_speed_10m, dtype: float32",2023-11-28,08:04:32,2023-11-28,75.0,0.0,0.0,7.0,0.0,7.0,84.0,84.0,0.0,3.0,0.0,8.0,20.0,1.0,91.0,37.0,0 days 00:00:00.000000084,2023-11-28 07:36:00.000,2023-11-28 09:00:00.000
24.244.722,882.0,,914134,2023-12-02 09:34:07.718,171.0,180.0,3.607,16.553.372,138.0,2.860.757,242.391,174.0,,31.294.725,2023-12-02 09:49:24,456.0,"7    23.0285
Name: temperature_2m, dtype: float32","7    86.0
Name: relative_humidity_2m, dtype: float32","7    2.968636
Name: wind_speed_10m, dtype: float32",2023-12-02,09:34:07,2023-12-02,67.0,48.0,54.0,23.0,8.0,67.0,479.0,221.0,1.0,37.0,0.0,68.0,32.0,3.0,86.0,82.0,0 days 00:00:00.000000479,2023-12-02 03:13:00.000,2023-12-02 11:12:00.000
10.938.419,401.0,,417708,2023-12-05 07:47:59.400,157.0,182.0,3.766,15.929.788,,1.248.795,108.952,175.0,,29.896.364,2023-12-05 07:55:18,,"5    21.1285
Name: temperature_2m, dtype: float32","5    99.0
Name: relative_humidity_2m, dtype: float32","5    1.018234
Name: wind_speed_10m, dtype: float32",2023-12-05,07:47:59,2023-12-05,87.0,36.0,46.0,4.0,8.0,57.0,480.0,93.0,0.0,33.0,0.0,73.0,23.0,5.0,88.0,84.0,0 days 00:00:00.000000480,2023-12-05 00:45:00.000,2023-12-05 08:45:00.000
10.413.824,354.0,,382714,2023-12-07 07:35:04.066,154.0,162.0,3.526,17.104.156,107.0,1.232.632,104.109,171.0,,32.207.654,2023-12-07 07:41:28,,"5    20.1285
Name: temperature_2m, dtype: float32","5    98.0
Name: relative_humidity_2m, dtype: float32","5    3.41526
Name: wind_speed_10m, dtype: float32",2023-12-07,07:35:04,2023-12-07,59.0,55.0,74.0,7.0,16.0,40.0,397.0,171.0,1.0,21.0,0.0,71.0,19.0,3.0,89.0,57.0,0 days 00:00:00.000000397,2023-12-07 01:45:00.000,2023-12-07 08:22:00.000
24.919.475,899.0,,930566,2023-12-09 09:30:26.785,175.0,186.0,3.664,16.589.903,107.0,2.924.156,248.436,177.0,,31.423.414,2023-12-09 09:46:34,473.0,"7    21.828499
Name: temperature_2m, dtype: float32","7    86.0
Name: relative_humidity_2m, dtype: float32","7    7.28055
Name: wind_speed_10m, dtype: float32",2023-12-09,09:30:26,2023-12-09,61.0,24.0,40.0,2.0,14.0,41.0,406.0,63.0,2.0,12.0,0.0,66.0,16.0,5.0,89.0,52.0,0 days 00:00:00.000000406,2023-12-09 01:57:00.000,2023-12-09 08:43:00.000
24.919.475,899.0,,930566,2023-12-09 09:30:26.785,175.0,186.0,3.664,16.589.903,107.0,2.924.156,248.436,177.0,,31.423.414,2023-12-09 09:46:34,473.0,"7    21.828499
Name: temperature_2m, dtype: float32","7    86.0
Name: relative_humidity_2m, dtype: float32","7    7.28055
Name: wind_speed_10m, dtype: float32",2023-12-09,09:30:26,2023-12-09,70.0,0.0,14.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,100.0,47.0,0 days 00:00:00.000000032,2023-12-09 09:28:00.000,2023-12-09 10:00:00.000
10.276.642,363.0,,397090,2023-12-12 07:56:12.454,167.0,177.0,3.472,16.681.357,130.0,1.242.445,102.741,171.0,,3.128.875,2023-12-12 08:02:50,,"5    19.1285
Name: temperature_2m, dtype: float32","5    93.0
Name: relative_humidity_2m, dtype: float32","5    2.902413
Name: wind_speed_10m, dtype: float32",2023-12-12,07:56:12,2023-12-12,46.0,42.0,53.0,4.0,39.0,77.0,487.0,135.0,1.0,55.0,0.0,72.0,30.0,5.0,84.0,83.0,0 days 00:00:00.000000487,2023-12-12 00:38:00.000,2023-12-12 08:45:00.000
23.937.656,885.0,,907827,2023-12-28 08:45:58.610,165.0,177.0,3.718,16.595.673,,2.822.531,239.358,177.0,,31.091.065,2023-12-28 09:01:07,395.0,"6    18.428499
Name: temperature_2m, dtype: float32","6    95.0
Name: relative_humidity_2m, dtype: float32","6    1.484318
Name: wind_speed_10m, dtype: float32",2023-12-28,08:45:58,2023-12-28,67.0,20.0,41.0,1.0,8.0,40.0,440.0,67.0,2.0,27.0,0.0,65.0,17.0,5.0,90.0,83.0,0 days 00:00:00.000000440,2023-12-28 02:23:00.000,2023-12-28 09:43:00.000
15.505.641,578.0,,600839,2023-12-29 09:14:13.654,165.0,183.0,3.469,16.347.142,,1.824.953,155.023,170.0,,3.037.341,2023-12-29 09:24:16,,"6    19.0285
Name: temperature_2m, dtype: float32","6    95.0
Name: relative_humidity_2m, dtype: float32","6    2.968636
Name: wind_speed_10m, dtype: float32",2023-12-29,09:14:13,2023-12-29,61.0,18.0,42.0,6.0,24.0,58.0,474.0,96.0,1.0,32.0,0.0,64.0,25.0,5.0,87.0,80.0,0 days 00:00:00.000000474,2023-12-29 01:52:00.000,2023-12-29 09:46:00.000
20.057.478,804.0,8476d7a6-3516-47c1-bb7c-6113fd4484ba.location_data_internal.json,835220,2023-12-31 10:31:52.948,171.0,184.0,3.341,16.235.243,,2.392.267,200.524,169.0,44.2,28.642.359,2023-12-31 10:45:50,322.0,"8    22.3785
Name: temperature_2m, dtype: float32","8    86.0
Name: relative_humidity_2m, dtype: float32","8    2.414953
Name: wind_speed_10m, dtype: float32",2023-12-31,10:31:52,2023-12-31,48.0,56.0,82.0,11.0,17.0,40.0,412.0,141.0,3.0,12.0,0.0,77.0,20.0,5.0,90.0,57.0,0 days 00:00:00.000000412,2023-12-31 03:07:00.000,2023-12-31 09:59:00.000
108.736.885,398.0,,422428,2024-01-03 08:31:20.503,155.0,167.0,3.42,16.490.384,90.0,1270.5,108.702,170.0,,30.076.132,2024-01-03 08:38:24,,"6    20.428499
Name: temperature_2m, dtype: float32","6    92.0
Name: relative_humidity_2m, dtype: float32","6    2.036468
Name: wind_speed_10m, dtype: float32",2024-01-03,08:31:20,2024-01-03,65.0,28.0,54.0,20.0,15.0,61.0,458.0,149.0,2.0,34.0,0.0,65.0,34.0,6.0,86.0,79.0,0 days 00:00:00.000000458,2024-01-03 01:37:00.000,2024-01-03 09:15:00.000
22.897.911,870.0,,902289,2024-01-04 08:24:43.544,178.0,188.0,3.314,16.597.786,137.0,2703.14,228.962,171.0,,29.958.692,2024-01-04 08:39:46,389.0,"5    20.8785
Name: temperature_2m, dtype: float32","5    97.0
Name: relative_humidity_2m, dtype: float32","5    3.219938
Name: wind_speed_10m, dtype: float32",2024-01-04,08:24:43,2024-01-04,39.0,24.0,71.0,15.0,16.0,53.0,452.0,86.0,4.0,33.0,0.0,72.0,36.0,5.0,88.0,81.0,0 days 00:00:00.000000452,2024-01-04 01:43:00.000,2024-01-04 09:15:00.000
10.455.198,401.0,,428551,2024-01-05 08:46:01.011,161.0,176.0,3.263,1.617.077,102.0,1.228.375,104.536,169.0,,2.866.345,2024-01-05 08:53:10,,"6    20.6285
Name: temperature_2m, dtype: float32","6    90.0
Name: relative_humidity_2m, dtype: float32","6    3.6
Name: wind_speed_10m, dtype: float32",2024-01-05,08:46:01,2024-01-05,61.0,65.0,65.0,9.0,14.0,45.0,471.0,196.0,2.0,31.0,0.0,74.0,21.0,5.0,90.0,84.0,0 days 00:00:00.000000471,2024-01-05 01:38:00.000,2024-01-05 09:29:00.000
30.601.862,1240.0,6effda56-9a6a-437b-b88f-f50359435859.location_data_internal.json,1273771,2024-01-06 10:04:41.272,174.0,186.0,3.392,1.637.814,130.0,3.675.869,305.939,171.0,44.33,2.885.816,2024-01-06 10:25:58,563.0,"7    20.978498
Name: temperature_2m, dtype: float32","7    85.0
Name: relative_humidity_2m, dtype: float32","7    4.198285
Name: wind_speed_10m, dtype: float32",2024-01-06,10:04:41,2024-01-06,70.0,35.0,45.0,19.0,15.0,47.0,449.0,210.0,1.0,16.0,0.0,62.0,23.0,5.0,89.0,84.0,0 days 00:00:00.000000449,2024-01-06 02:52:00.000,2024-01-06 10:21:00.000
10.772.234,406.0,,420472,2024-01-09 08:34:52.132,168.0,195.0,3.426,16.253.163,,1.263.632,107.704,168.0,,30.052.702,2024-01-09 08:41:53,,"6    21.078499
Name: temperature_2m, dtype: float32","6    94.0
Name: relative_humidity_2m, dtype: float32","6    3.671294
Name: wind_speed_10m, dtype: float32",2024-01-09,08:34:52,2024-01-09,70.0,46.0,49.0,23.0,5.0,41.0,396.0,175.0,1.0,18.0,0.0,62.0,28.0,3.0,89.0,81.0,0 days 00:00:00.000000396,2024-01-09 02:40:00.000,2024-01-09 09:16:00.000
15.725.716,596.0,,611173,2024-01-10 08:45:58.086,164.0,177.0,3.447,16.394.704,,1854.78,157.24,168.0,,30.347.874,2024-01-10 08:56:10,304.0,"6    20.6285
Name: temperature_2m, dtype: float32","6    97.0
Name: relative_humidity_2m, dtype: float32","6    2.741678
Name: wind_speed_10m, dtype: float32",2024-01-10,08:45:58,2024-01-10,83.0,12.0,29.0,12.0,2.0,92.0,469.0,141.0,1.0,69.0,0.0,56.0,43.0,5.0,80.0,79.0,0 days 00:00:00.000000469,2024-01-10 01:39:00.000,2024-01-10 09:28:00.000
10.833.686,411.0,,430811,2024-01-11 08:38:39.948,162.0,178.0,3.303,16.294.849,,1.278.094,108.318,167.0,,29.667.163,2024-01-11 08:45:51,,"6    20.578499
Name: temperature_2m, dtype: float32","6    96.0
Name: relative_humidity_2m, dtype: float32","6    3.24
Name: wind_speed_10m, dtype: float32",2024-01-11,08:38:39,2024-01-11,72.0,19.0,19.0,21.0,8.0,47.0,442.0,217.0,1.0,27.0,0.0,52.0,26.0,4.0,89.0,76.0,0 days 00:00:00.000000442,2024-01-11 02:01:00.000,2024-01-11 09:23:00.000
30.438.974,1237.0,ad75b21c-9568-4e48-9275-6dd16e38b15c.location_data_internal.json,1266616,2024-01-13 10:05:14.846,173.0,185.0,3.471,16.276.442,135.0,3.672.477,304.331,170.0,44.59,289.944,2024-01-13 10:26:24,582.0,"7    22.178499
Name: temperature_2m, dtype: float32","7    94.0
Name: relative_humidity_2m, dtype: float32","7    0.804985
Name: wind_speed_10m, dtype: float32",2024-01-13,10:05:14,2024-01-13,53.0,44.0,54.0,27.0,17.0,89.0,588.0,220.0,3.0,53.0,0.0,76.0,36.0,6.0,84.0,70.0,0 days 00:00:00.000000588,2024-01-13 01:47:00.000,2024-01-13 11:35:00.000
15.964.609,597.0,,616554,2024-01-16 08:42:32.801,160.0,179.0,3.597,16.300.276,,1.900.089,159.639,172.0,,30.817.883,2024-01-16 08:52:49,317.0,"6    19.978498
Name: temperature_2m, dtype: float32","6    94.0
Name: relative_humidity_2m, dtype: float32","6    4.452954
Name: wind_speed_10m, dtype: float32",2024-01-16,08:42:32,2024-01-16,64.0,25.0,41.0,25.0,16.0,46.0,440.0,223.0,1.0,14.0,0.0,58.0,25.0,4.0,89.0,79.0,0 days 00:00:00.000000440,2024-01-16 01:57:00.000,2024-01-16 09:17:00.000
113.924.126,404.0,,432832,2024-01-17 08:39:00.957,167.0,177.0,3.52,16.523.732,129.0,1.339.871,113.918,172.0,,30.955.913,2024-01-17 08:46:14,,"6    22.1285
Name: temperature_2m, dtype: float32","6    98.0
Name: relative_humidity_2m, dtype: float32","6    3.545589
Name: wind_speed_10m, dtype: float32",2024-01-17,08:39:00,2024-01-17,61.0,43.0,43.0,23.0,9.0,94.0,438.0,177.0,2.0,78.0,0.0,63.0,52.0,4.0,78.0,79.0,0 days 00:00:00.000000438,2024-01-17 02:12:00.000,2024-01-17 09:30:00.000
1.594.509,591.0,,613641,2024-01-18 08:41:22.285,169.0,187.0,3.449,16.514.542,91.0,1.891.199,159.447,169.0,,30.819.306,2024-01-18 08:51:36,308.0,"6    21.1285
Name: temperature_2m, dtype: float32","6    97.0
Name: relative_humidity_2m, dtype: float32","6    2.81169
Name: wind_speed_10m, dtype: float32",2024-01-18,08:41:22,2024-01-18,60.0,32.0,46.0,7.0,5.0,44.0,400.0,126.0,2.0,18.0,0.0,62.0,21.0,3.0,89.0,82.0,0 days 00:00:00.000000400,2024-01-18 02:12:00.000,2024-01-18 08:52:00.000
37.675.755,142.0,,153281,2024-01-20 10:02:36.496,151.0,164.0,3.267,15.931.523,,445.214,37.633,164.0,,29.045.608,2024-01-20 10:05:11,,"7    24.178499
Name: temperature_2m, dtype: float32","7    84.0
Name: relative_humidity_2m, dtype: float32","7    5.4
Name: wind_speed_10m, dtype: float32",2024-01-20,10:02:36,2024-01-20,89.0,88.0,88.0,20.0,6.0,50.0,528.0,260.0,0.0,19.0,0.0,83.0,21.0,5.0,90.0,90.0,0 days 00:00:00.000000528,2024-01-20 01:46:00.000,2024-01-20 10:34:00.000
3.145.939,1248.0,eb71100d-ca3f-48f8-b613-59a7fd8a788e.location_data_internal.json,1269158,2024-01-21 09:37:04.967,173.0,185.0,3.397,1.632.421,,3757.15,314.523,170.0,44.67,29.603.486,2024-01-21 09:58:17,589.0,"7    23.178499
Name: temperature_2m, dtype: float32","7    90.0
Name: relative_humidity_2m, dtype: float32","7    3.826853
Name: wind_speed_10m, dtype: float32",2024-01-21,09:37:04,2024-01-21,87.0,40.0,46.0,16.0,8.0,46.0,482.0,212.0,0.0,9.0,0.0,65.0,19.0,5.0,90.0,86.0,0 days 00:00:00.000000482,2024-01-21 03:08:00.000,2024-01-21 11:10:00.000
10.919.442,403.0,,432215,2024-01-23 08:44:40.449,164.0,174.0,3.288,16.269.681,135.0,1.292.667,109.177,167.0,,29.907.963,2024-01-23 08:51:53,,"6    19.6285
Name: temperature_2m, dtype: float32","6    95.0
Name: relative_humidity_2m, dtype: float32","6    1.8
Name: wind_speed_10m, dtype: float32",2024-01-23,08:44:40,2024-01-23,60.0,9.0,9.0,72.0,15.0,110.0,440.0,241.0,1.0,82.0,0.0,48.0,74.0,3.0,75.0,74.0,0 days 00:00:00.000000440,2024-01-23 02:07:00.000,2024-01-23 09:27:00.000
46.234.024,1924.0,9018a32b-cd6a-4bc0-83fd-3aa318389163.location_data_internal.json,1943297,2024-01-27 17:15:27.480,169.0,185.0,3.377,15.965.651,116.0,5534.96,462.284,170.0,44.9,28.482.316,2024-01-27 17:47:53,850.0,"14    25.928499
Name: temperature_2m, dtype: float32","14    68.0
Name: relative_humidity_2m, dtype: float32","14    5.154416
Name: wind_speed_10m, dtype: float32",2024-01-27,17:15:27,2024-01-27,54.0,27.0,56.0,4.0,21.0,58.0,498.0,90.0,2.0,31.0,0.0,73.0,22.0,5.0,88.0,81.0,0 days 00:00:00.000000498,2024-01-27 02:30:00.000,2024-01-27 10:48:00.000
16.170.865,594.0,,614665,2024-01-30 08:44:47.479,166.0,182.0,3.598,16.467.508,,1.912.578,161.7,169.0,,3.111.578,2024-01-30 08:55:02,324.0,"6    19.428499
Name: temperature_2m, dtype: float32","6    100.0
Name: relative_humidity_2m, dtype: float32","6    3.075841
Name: wind_speed_10m, dtype: float32",2024-01-30,08:44:47,2024-01-30,83.0,14.0,16.0,7.0,2.0,50.0,367.0,86.0,0.0,31.0,0.0,48.0,30.0,3.0,86.0,72.0,0 days 00:00:00.000000367,2024-01-30 03:06:00.000,2024-01-30 09:13:00.000
20.051.197,69.0,,83101,2024-02-01 08:48:26.338,100.0,118.0,3.383,15.667.682,,236.882,20.036,168.0,,28.505.313,2024-02-01 08:49:50,,"6    18.928499
Name: temperature_2m, dtype: float32","6    96.0
Name: relative_humidity_2m, dtype: float32","6    1.8
Name: wind_speed_10m, dtype: float32",2024-02-01,08:48:26,2024-02-01,78.0,24.0,49.0,14.0,7.0,68.0,440.0,116.0,1.0,41.0,0.0,63.0,37.0,5.0,84.0,81.0,0 days 00:00:00.000000440,2024-02-01 02:11:00.000,2024-02-01 09:31:00.000
4.265.457,154.0,,180099,2024-02-07 08:56:57.843,159.0,173.0,3.228,15.791.315,129.0,525.203,42.641,164.0,,29.161.906,2024-02-07 08:59:58,,"6    19.228498
Name: temperature_2m, dtype: float32","6    100.0
Name: relative_humidity_2m, dtype: float32","6    2.27684
Name: wind_speed_10m, dtype: float32",2024-02-07,08:56:57,2024-02-07,79.0,50.0,69.0,8.0,6.0,46.0,464.0,153.0,1.0,22.0,0.0,74.0,20.0,5.0,90.0,87.0,0 days 00:00:00.000000464,2024-02-07 02:01:00.000,2024-02-07 09:45:00.000
30.780.008,1188.0,,1211126,2024-02-08 08:52:45.347,173.0,184.0,3.347,1.612.549,133.0,3.644.257,307.783,166.0,,30.089.827,2024-02-08 09:12:57,562.0,"6    20.078499
Name: temperature_2m, dtype: float32","6    97.0
Name: relative_humidity_2m, dtype: float32","6    1.8
Name: wind_speed_10m, dtype: float32",2024-02-08,08:52:45,2024-02-08,65.0,59.0,90.0,10.0,10.0,49.0,439.0,155.0,1.0,36.0,0.0,80.0,26.0,3.0,88.0,86.0,0 days 00:00:00.000000439,2024-02-08 02:28:00.000,2024-02-08 09:47:00.000
17.912.877,662.0,,693524,2024-02-13 08:50:21.699,179.0,191.0,3.452,1.638.588,,2121.0,179.07,170.0,,30.582.936,2024-02-13 09:01:58,315.0,"6    18.3785
Name: temperature_2m, dtype: float32","6    95.0
Name: relative_humidity_2m, dtype: float32","6    3.877318
Name: wind_speed_10m, dtype: float32",2024-02-13,08:50:21,2024-02-13,77.0,29.0,66.0,0.0,3.0,40.0,420.0,59.0,1.0,19.0,0.0,77.0,14.0,4.0,90.0,90.0,0 days 00:00:00.000000420,2024-02-13 03:24:00.000,2024-02-13 10:24:00.000
23.322.421,880.0,,907318,2024-02-14 08:51:44.806,181.0,196.0,3.476,16.128.854,,2746.75,233.218,169.0,,3.027.329,2024-02-14 09:06:52,467.0,"6    18.8785
Name: temperature_2m, dtype: float32","6    99.0
Name: relative_humidity_2m, dtype: float32","6    3.396233
Name: wind_speed_10m, dtype: float32",2024-02-14,08:51:44,2024-02-14,55.0,22.0,38.0,5.0,10.0,40.0,399.0,97.0,2.0,17.0,0.0,58.0,19.0,3.0,89.0,78.0,0 days 00:00:00.000000399,2024-02-14 02:53:00.000,2024-02-14 09:32:00.000
15.932.306,605.0,,612906,2024-02-20 08:51:38.698,174.0,196.0,3.539,16.309.189,92.0,1.891.656,159.297,170.0,,30.863.721,2024-02-20 09:01:52,303.0,"6    19.428499
Name: temperature_2m, dtype: float32","6    100.0
Name: relative_humidity_2m, dtype: float32","6    1.835647
Name: wind_speed_10m, dtype: float32",2024-02-20,08:51:38,2024-02-20,57.0,67.0,82.0,4.0,8.0,40.0,472.0,174.0,3.0,26.0,0.0,80.0,16.0,5.0,91.0,88.0,0 days 00:00:00.000000472,2024-02-20 01:47:00.000,2024-02-20 09:39:00.000
3.140.894,1190.0,,1221159,2024-02-21 08:50:04.308,168.0,185.0,3.528,1.616.497,85.0,3.712.034,313.837,171.0,,30.397.627,2024-02-21 09:10:37,570.0,"6    20.5285
Name: temperature_2m, dtype: float32","6    95.0
Name: relative_humidity_2m, dtype: float32","6    2.968636
Name: wind_speed_10m, dtype: float32",2024-02-21,08:50:04,2024-02-21,54.0,54.0,91.0,6.0,21.0,43.0,467.0,180.0,1.0,31.0,0.0,78.0,19.0,3.0,90.0,88.0,0 days 00:00:00.000000467,2024-02-21 01:58:00.000,2024-02-21 09:45:00.000
309.517,1312.0,e625bf7a-6e7d-4b68-ba97-c65c4a27d020.location_data_internal.json,1346450,2024-02-24 09:55:17.957,174.0,187.0,3.544,16.287.274,123.0,3677.88,309.507,171.0,44.61,27.315.385,2024-02-24 10:17:44,607.0,"7    21.3785
Name: temperature_2m, dtype: float32","7    97.0
Name: relative_humidity_2m, dtype: float32","7    2.968636
Name: wind_speed_10m, dtype: float32",2024-02-24,09:55:17,2024-02-24,77.0,50.0,50.0,9.0,8.0,35.0,509.0,146.0,1.0,8.0,0.0,74.0,15.0,5.0,93.0,87.0,0 days 00:00:00.000000509,2024-02-24 01:44:00.000,2024-02-24 10:13:00.000
2.989.899,1176.0,,1207414,2024-02-29 08:57:55.793,169.0,181.0,3.446,16.130.342,,3.534.539,298.984,169.0,,29.273.632,2024-02-29 09:18:03,553.0,"6    21.1285
Name: temperature_2m, dtype: float32","6    99.0
Name: relative_humidity_2m, dtype: float32","6    2.595997
Name: wind_speed_10m, dtype: float32",2024-02-29,08:57:55,2024-02-29,72.0,59.0,59.0,23.0,8.0,58.0,468.0,261.0,1.0,22.0,0.0,68.0,26.0,4.0,87.0,86.0,0 days 00:00:00.000000468,2024-02-29 01:53:00.000,2024-02-29 09:41:00.000
30.932.257,1185.0,,1208130,2024-03-05 09:00:57.857,169.0,183.0,3.556,16.393.932,83.0,3.651.722,309.311,171.0,,30.226.233,2024-03-05 09:21:06,588.0,"6    18.8785
Name: temperature_2m, dtype: float32","6    98.0
Name: relative_humidity_2m, dtype: float32","6    4.213692
Name: wind_speed_10m, dtype: float32",2024-03-05,09:00:57,2024-03-05,60.0,25.0,55.0,2.0,15.0,53.0,439.0,61.0,1.0,26.0,0.0,73.0,21.0,3.0,87.0,83.0,0 days 00:00:00.000000439,2024-03-05 02:01:00.000,2024-03-05 09:20:00.000
