com.samsung.health.exercise.distance,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.mean_heart_rate,sleep_duration,temperature_2m,relative_humidity_2m,sleep_score,mental_recovery
3.836,31.738,163.0,299.0,5.0,5.0,64.0,67.0
864.968,28.166,140.0,460.0,5.0,5.0,81.0,56.0
2.144,2.979,143.0,497.0,5.0,5.0,83.0,56.0
3.359,2.783,145.0,429.0,7.0,7.0,85.0,78.0
3.653,2.967,150.0,493.0,5.0,5.0,80.0,86.0
3.601,2.97,154.0,390.0,5.0,5.0,77.0,43.0
3.601,2.97,154.0,41.0,5.0,5.0,47.0,70.0
3.846,31.484,168.0,272.0,5.0,5.0,66.0,77.0
3.846,31.484,168.0,139.0,5.0,5.0,31.0,73.0
3.883,30.933,162.0,191.0,5.0,5.0,62.0,65.0
3.883,30.933,162.0,243.0,5.0,5.0,53.0,52.0
3.894,32.152,163.0,464.0,5.0,5.0,88.0,83.0
3.914,32.238,171.0,509.0,5.0,5.0,84.0,63.0
3945.25,32.238,166.0,149.0,5.0,5.0,56.0,78.0
3945.25,32.238,166.0,123.0,5.0,5.0,28.0,70.0
2.941,31.953,161.0,261.0,7.0,7.0,68.0,81.0
3.894,31.703,166.0,450.0,5.0,5.0,78.0,64.0
3.869,3.168,163.0,478.0,5.0,5.0,82.0,69.0
78.0,11.595,107.0,363.0,5.0,5.0,74.0,69.0
1.9,31.601,162.0,363.0,6.0,6.0,74.0,69.0
3.913,3.203,161.0,476.0,5.0,5.0,83.0,76.0
3.895,32.117,162.0,442.0,5.0,5.0,86.0,20.0
4.243,31.16,166.0,405.0,7.0,7.0,77.0,59.0
3.943,32.28,167.0,297.0,5.0,5.0,58.0,77.0
3.943,32.28,167.0,161.0,5.0,5.0,28.0,46.0
3971.0,32.424,165.0,505.0,5.0,5.0,80.0,71.0
4.891,32.47,167.0,307.0,7.0,7.0,71.0,72.0
4.891,32.47,167.0,154.0,7.0,7.0,36.0,75.0
6.003,14.048,100.0,291.0,14.0,14.0,67.0,71.0
9.162,28.29,166.0,419.0,6.0,6.0,88.0,75.0
3.617,3.105,170.0,123.0,14.0,14.0,54.0,78.0
3.617,3.105,170.0,264.0,14.0,14.0,63.0,74.0
3.617,3.105,170.0,111.0,14.0,14.0,34.0,62.0
3.846,31.244,165.0,450.0,5.0,5.0,83.0,87.0
2913.0,3.186,165.0,442.0,5.0,5.0,87.0,67.0
3.955,32.421,161.0,463.0,5.0,5.0,84.0,10.0
122.765,27.028,123.0,128.0,7.0,7.0,57.0,73.0
3.958,3.262,167.0,102.0,5.0,5.0,57.0,62.0
3.958,3.262,167.0,323.0,5.0,5.0,71.0,83.0
3.807,31.689,161.0,439.0,5.0,5.0,90.0,66.0
2.9,3.204,165.0,405.0,5.0,5.0,84.0,66.0
3.908,32.552,166.0,265.0,5.0,5.0,59.0,63.0
3.908,32.552,166.0,172.0,5.0,5.0,60.0,75.0
3.911,32.334,164.0,267.0,5.0,5.0,62.0,77.0
3.911,32.334,164.0,122.0,5.0,5.0,32.0,73.0
6.46,28.488,160.0,461.0,18.0,18.0,84.0,61.0
3.141,29.568,172.0,346.0,7.0,7.0,77.0,70.0
3.572,29.571,165.0,276.0,5.0,5.0,69.0,67.0
