com.samsung.shealth.exercise.weather,6303011,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2020-07-11 13:00:45.740,-21.784004,,NE. 50,Shallow Fog,0,1,TWC,2020-07-11 13:00:45.744,2020-07-11 13:00:45.744,1,-43.35992,18.0,82,UTC-0300,O+mqRwYCKf,61da6d65-0e9e-41aa-802f-99c93ae0398f,com.sec.android.app.shealth,km/h,0,3.0,4,0d9ba2b7-e3db-4a0e-9f0d-1b6a78ba9c69,
,0,2020-06-02 23:07:09.245,-21.785276,,SSW. 200,Partly Cloudy,0,1,TWC,2020-06-02 23:07:09.248,2020-06-02 23:07:09.248,1,-43.362095,16.0,86,UTC-0300,O+mqRwYCKf,6906edd0-ad46-471f-8bff-5db6b331b568,com.sec.android.app.shealth,km/h,0,8.0,19,293ccf13-e701-4fe5-a873-93bf4addecc8,
,0,2018-02-25 15:21:59.283,-22.969728,,SSE. 160,Parcial. nublado,0,1,TWC,2018-02-25 15:21:59.293,2018-02-25 15:21:59.293,1,-43.21642,29.0,66,UTC-0300,2xsU3mmPSe,9674f2b8-68bc-4ba6-b838-0b50f8f3b02f,com.sec.android.app.shealth,km/h,0,18.0,2,a046ad01-d918-4d8e-a5b1-5a6371e8c9ee,
,0,2018-12-20 10:23:58.020,-21.778198,,N. 10,Parcial. nublado,0,1,TWC,2018-12-20 10:23:58.022,2018-12-20 10:23:58.022,1,-43.36812,22.0,84,UTC-0200,O+mqRwYCKf,cb480fee-cd27-464c-8731-9822157c9156,com.sec.android.app.shealth,km/h,0,10.0,2,12bb4843-ae91-43bb-b8ca-0ac34a03d0ea,
,0,2018-03-04 10:09:00.178,-20.716892,,NNO. 340,Encoberto,0,1,TWC,2018-03-04 10:09:00.182,2018-03-04 10:09:00.182,1,-42.03775,23.0,92,UTC-0300,2xsU3mmPSe,ce19e540-ae50-488e-8a0b-6c7311ea022f,com.sec.android.app.shealth,km/h,0,6.0,3,94595281-baf6-4934-8597-862d09ee9a52,
,0,2018-04-30 21:20:21.964,-20.721317,,NNO. 330,Parcial. nublado,0,1,TWC,2018-04-30 21:20:21.968,2018-04-30 21:20:21.968,1,-42.038662,22.0,65,UTC-0300,2xsU3mmPSe,7534c89d-ea77-43b0-aa18-f976d859aeaf,com.sec.android.app.shealth,km/h,0,5.0,19,493174bf-49a1-4dee-b6d2-baacf6915697,
,0,2020-06-20 18:44:01.625,-20.721281,,NNW. 340,Sunny,0,1,TWC,2020-06-20 18:44:01.626,2020-06-20 18:44:01.626,1,-42.038532,26.0,62,UTC-0300,O+mqRwYCKf,ddb34801-4d2c-491f-9475-cb38bfd944da,com.sec.android.app.shealth,km/h,0,10.0,1,40afffe8-0ad6-4c50-a385-1d10b9d5e658,
,0,2018-09-01 20:48:58.097,-21.774359,,ENE. 60,Limpo,0,1,TWC,2018-09-01 20:48:58.100,2018-09-01 20:48:58.100,1,-43.368927,21.0,66,UTC-0300,2xsU3mmPSe,212a10e5-d368-434c-9d83-8f2f2e852e38,com.sec.android.app.shealth,km/h,0,11.0,18,ddb42254-d00b-4fb9-a1c8-cecc7e4c4620,
,0,2018-07-25 15:20:09.013,-5.868576,,SE. 130,Partly Cloudy,0,1,TWC,2018-07-25 15:20:09.015,2018-07-25 15:20:09.015,1,-35.18155,29.0,60,UTC-0300,2xsU3mmPSe,a3cd7940-04f8-4b3f-932a-69ed824a5d5f,com.sec.android.app.shealth,km/h,0,31.0,2,c1760126-c31f-4c44-9f75-7e9c05357e54,
,0,2018-03-16 09:24:30.746,-21.773577,,N. 350,Parcial. nublado,0,1,TWC,2018-03-16 09:24:30.752,2018-03-16 09:24:30.752,1,-43.367702,20.0,98,UTC-0300,2xsU3mmPSe,41919be8-2768-4eab-abdc-871925966b3f,com.sec.android.app.shealth,km/h,0,10.0,2,0024d279-2d8b-43ac-b0e1-763b155a544d,
